Market_Region,Date,ReExports,Domestic_Exports,Imports
Total All Markets,2010-07-01,20599.6,20570.6,38506.4
Total All Markets,2010-06-01,20003.7,21016.7,37674.5
Total All Markets,2010-05-01,18519.5,20174.3,33511.6
Total All Markets,2010-04-01,19011.2,21633.5,36719.9
Total All Markets,2010-03-01,20172.8,20832.7,36362.9
Total All Markets,2010-02-01,15280.3,17671.1,30904.7
Total All Markets,2010-01-01,18501.4,17889.8,33290.1
Total All Markets,2009-12-01,17739,19404.7,33885.8
Total All Markets,2009-11-01,16825.8,18866.9,31415.5
Total All Markets,2009-10-01,17981.6,17864.5,32568.1
Total All Markets,2009-09-01,16598.2,18615.7,33242.9
Total All Markets,2009-08-01,16687,17459.2,30161.7
Total All Markets,2009-07-01,17060,18233.2,31670.3
Total All Markets,2009-06-01,15761.7,16391.2,29799.1
Total All Markets,2009-05-01,14970.8,15149.1,27818.2
Total All Markets,2009-04-01,15839.3,15538.8,27868.1
Total All Markets,2009-03-01,16049.6,15748.8,27730.2
Total All Markets,2009-02-01,14284.3,13393.6,26488
Total All Markets,2009-01-01,12919.4,13544,25726.5
Total All Markets,2008-12-01,15712.7,14339.9,29158.9
Total All Markets,2008-11-01,16738,17554.7,32855.6
Total All Markets,2008-10-01,19402.6,20099.6,38957.7
Total All Markets,2008-09-01,20953.6,22702.3,41584.5
Total All Markets,2008-08-01,19753.9,22719.7,38926
Total All Markets,2008-07-01,21408.3,23970.8,43365.6
Total All Markets,2008-06-01,20845.8,21655.1,40693.3
Total All Markets,2008-05-01,20581.7,20358.7,38619.6
Total All Markets,2008-04-01,20183.5,22332.4,40555.6
Total All Markets,2008-03-01,19295.9,21135.5,38648.1
Total All Markets,2008-02-01,17451.9,18976.4,33414
Total All Markets,2008-01-01,20800.9,21881.5,38681.5
Total All Markets,2007-12-01,18308,19544.7,34935.7
Total All Markets,2007-11-01,18624.8,20384.7,36054
Total All Markets,2007-10-01,19469.4,21609.9,37110.2
Total All Markets,2007-09-01,18682.7,20435.3,32811.2
Total All Markets,2007-08-01,19207.5,19902.7,33723.7
Total All Markets,2007-07-01,19284.4,20233.2,34151.5
Total All Markets,2007-06-01,18675.7,19725.2,34076.1
Total All Markets,2007-05-01,17057.9,19348.1,32340.9
Total All Markets,2007-04-01,17658.9,18783.4,31945.2
Total All Markets,2007-03-01,18642.2,19971.9,32640.5
Total All Markets,2007-02-01,15491.6,15446.6,27851.5
Total All Markets,2007-01-01,18036.1,19562,30763.5
Total All Markets,2006-12-01,18273,17564.9,33117.1
Total All Markets,2006-11-01,17977.5,19359.8,31957.3
Total All Markets,2006-10-01,18044.9,18964,31068.8
Total All Markets,2006-09-01,19132.6,19500.2,32818.2
Total All Markets,2006-08-01,18753.1,19302.6,34163.4
Total All Markets,2006-07-01,17172.1,19041.4,33155.2
Total All Markets,2006-06-01,17575.8,20398.8,33778.4
Total All Markets,2006-05-01,16514.5,19481.9,32627.8
Total All Markets,2006-04-01,15669.5,17989.8,29327
Total All Markets,2006-03-01,17483.6,20235.3,31515.8
Total All Markets,2006-02-01,15282.7,17720.4,29937.6
Total All Markets,2006-01-01,14787.3,17830.7,27375.9
Total All Markets,2005-12-01,16529.2,20549.8,30768.7
Total All Markets,2005-11-01,15838.5,18738.1,29184.8
Total All Markets,2005-10-01,16313.2,19489.1,32075.3
Total All Markets,2005-09-01,15564.4,18509.5,29312.7
Total All Markets,2005-08-01,15659.2,18645,29639.2
Total All Markets,2005-07-01,14766,16940.7,27943
Total All Markets,2005-06-01,14258,16897.4,28003.4
Total All Markets,2005-05-01,14297.9,16272.7,26203.3
Total All Markets,2005-04-01,14027.2,15873,26658.2
Total All Markets,2005-03-01,14760.5,16702.9,28178.7
Total All Markets,2005-02-01,11351.5,14155.7,21400.9
Total All Markets,2005-01-01,12842.3,14701.6,24945.4
Total All Markets,2004-12-01,14149.6,16119.8,25299.4
Total All Markets,2004-11-01,12689.8,15694.3,24894.4
Total All Markets,2004-10-01,13871.8,16453.4,26438.7
Total All Markets,2004-09-01,14667.8,16484.8,25520.7
Total All Markets,2004-08-01,13563.6,15612.6,25375.6
Total All Markets,2004-07-01,13687.7,15452.7,26647.8
Total All Markets,2004-06-01,13442,15205.3,24845.5
Total All Markets,2004-05-01,12764.8,14527.2,24467.4
Total All Markets,2004-04-01,12600,14202.5,24103.8
Total All Markets,2004-03-01,13044.9,14810,25214.3
Total All Markets,2004-02-01,11210.5,12917.7,20335.4
Total All Markets,2004-01-01,10872.5,12730.7,21035.2
Total All Markets,2003-12-01,12425.7,13759.3,22370
Total All Markets,2003-11-01,11219.9,12504.9,20077.6
Total All Markets,2003-10-01,12248.8,13733.4,22247.2
Total All Markets,2003-09-01,11645.2,13541.1,20630.3
Total All Markets,2003-08-01,10980,11785.1,19534.3
Total All Markets,2003-07-01,10881.2,12646.8,19832.5
Total All Markets,2003-06-01,10135.1,12169.3,19773.6
Total All Markets,2003-05-01,10121,11905.6,18136
Total All Markets,2003-04-01,10489.5,12258.4,19325
Total All Markets,2003-03-01,10711,12707.3,20441.8
Total All Markets,2003-02-01,9173.1,10658,17162.8
Total All Markets,2003-01-01,10558.9,12888.7,18539.1
America,2025-01-01,3110.3,4263.1,6923.3
America,2024-12-01,3893.4,3607.9,7873.7
America,2024-11-01,3528.2,3128.7,7879.6
America,2024-10-01,3388.8,2935.5,8077.6
America,2024-09-01,3196.7,3294.2,9112
America,2024-08-01,3421.9,3447.8,8581.4
America,2024-07-01,3386.8,5094.3,8462
America,2024-06-01,2579.7,3298.2,7611.1
America,2024-05-01,2792.4,3722.3,8388
America,2024-04-01,2335.1,3494.1,8971.9
America,2024-03-01,2634.9,3381.5,7279.1
America,2024-02-01,2240.4,3921.7,6398.3
America,2024-01-01,2265.5,3807.8,6711.7
America,2023-12-01,2688.8,3425,7171.9
America,2023-11-01,2828.1,4007.9,7907.6
America,2023-10-01,2581.6,3468.8,7514.7
America,2023-09-01,2707.8,3743.2,6991.3
America,2023-08-01,2684.5,3508.5,8087.7
America,2023-07-01,2581.9,4378.6,6766.8
America,2023-06-01,2636.5,3742.1,7887.7
America,2023-05-01,2579.8,3455.4,6445
America,2023-04-01,2456.2,4700.6,6590.1
America,2023-03-01,2664.8,5589.5,7555.1
America,2023-02-01,2654.6,3230.4,6008.9
America,2023-01-01,2601.3,3199.4,6226.7
America,2022-12-01,2819.3,3398.3,6901.5
America,2022-11-01,2822.7,3571.6,7529.4
America,2022-10-01,2774.5,3879.4,7666.4
America,2022-09-01,3185.9,3905.9,7995.9
America,2022-08-01,3332.9,4598.1,8633.8
America,2022-07-01,3039.5,3691.7,7879.7
America,2022-06-01,3048.3,4460.3,8024
America,2022-05-01,2794.5,3546.5,8521.1
America,2022-04-01,3101.1,3974.5,7822.1
America,2022-03-01,2965.7,4967.3,7176.1
America,2022-02-01,2321.6,3075.2,5385.2
America,2022-01-01,2719.3,3857,5850.9
America,2021-12-01,2771.7,3321.9,6261.1
America,2021-11-01,2517.9,3579.7,6127.4
America,2021-10-01,2582.7,3102.2,6027.6
America,2021-09-01,2382,3301.5,5631.6
America,2021-08-01,2524.7,3027.3,5750.1
America,2021-07-01,2338.1,2941.7,5728.6
America,2021-06-01,2136.6,3252.9,5457.4
America,2021-05-01,2342.3,3369.2,5191.8
America,2021-04-01,2314.8,3243.6,6195.9
America,2021-03-01,2344.2,3709.1,5303.5
America,2021-02-01,1923.9,2891.3,4164.2
America,2021-01-01,2059.4,2750.3,4580
America,2020-12-01,2101.5,3552.7,4676.4
America,2020-11-01,2377.8,3024.1,4588.2
America,2020-10-01,2317.5,2781.2,4869.7
America,2020-09-01,2267.4,2528.1,4886.4
America,2020-08-01,2273.2,2891.2,4132
America,2020-07-01,2366.7,4517.1,4667.3
America,2020-06-01,1946.5,2949,4686.2
America,2020-05-01,1855.9,4066.3,4259
America,2020-04-01,1964.3,4604.8,5183.5
America,2020-03-01,2333.4,3687.7,5910.8
America,2020-02-01,2539.3,3331.4,5314.1
America,2020-01-01,2104.1,3453.7,5844.1
America,2019-12-01,2298.2,2315.5,5686.4
America,2019-11-01,2119.7,2702.5,6274.7
America,2019-10-01,2356.8,2581.5,5754.5
America,2019-09-01,2102.8,2651.7,5633.1
America,2019-08-01,2130.7,2707,6128.8
America,2019-07-01,2134.6,3074.8,5986.2
America,2019-06-01,2010.3,2979.7,5876.4
America,2019-05-01,2184.9,3624.5,5797.3
America,2019-04-01,2290.7,2732.8,6128
America,2019-03-01,2203,3078.2,5528.7
America,2019-02-01,1828.7,3013,5381.1
America,2019-01-01,2281.7,2774.2,5543.6
America,2018-12-01,1831.4,2617.9,6184.6
America,2018-11-01,1896,2952.5,6013.9
America,2018-10-01,2014.8,3223.4,6409.9
America,2018-09-01,1892.7,3155.5,5466.5
America,2018-08-01,1930.7,3334,6031.7
America,2018-07-01,1997.4,3240.9,5590.7
America,2018-06-01,1748.9,3066.1,5961.2
America,2018-05-01,1666.2,3641.8,5661.3
America,2018-04-01,1798.5,3118.8,5122.6
America,2018-03-01,1741.2,3168.5,5316.7
America,2018-02-01,1541.8,2512.2,4113.3
America,2018-01-01,1627,2694.2,4706.6
America,2017-12-01,1476.9,2298.9,5014.4
America,2017-11-01,1529.1,2264.2,4895.6
America,2017-10-01,1555.7,2448.9,4983.1
America,2017-09-01,1471,2250.9,4435.1
America,2017-08-01,1694.3,2442.1,4888.7
America,2017-07-01,1650.9,2141.5,4684.4
America,2017-06-01,1567.9,2397.2,5147.3
America,2017-05-01,1833.6,2649.7,5372
America,2017-04-01,1584.4,2485.3,4481.4
America,2017-03-01,1750.5,2812.1,5262.9
America,2017-02-01,1307.6,2063.9,4097.8
America,2017-01-01,1521.2,2233.2,4743.8
America,2016-12-01,1598.5,1990.2,4645.3
America,2016-11-01,1498.7,2206.1,4908.6
America,2016-10-01,1623.8,1900.4,4145.9
America,2016-09-01,1363,2391.2,4121.3
America,2016-08-01,1467,2340,4754.1
America,2016-07-01,1381.3,2582,4107.4
America,2016-06-01,1343.1,2767.7,4396.5
America,2016-05-01,1216.7,2532.1,4284.6
America,2016-04-01,1406.4,2355,4251
America,2016-03-01,1328.7,2301,4437.5
America,2016-02-01,1190.9,1911.5,3813.2
America,2016-01-01,1306.5,1938.3,3818
America,2015-12-01,1323.2,2029.5,4515.7
America,2015-11-01,1231.1,2163.4,4773.8
America,2015-10-01,1571,2718.2,4711.8
America,2015-09-01,1561.2,2475.5,5147.4
America,2015-08-01,1392.3,2636.1,4484.8
America,2015-07-01,1375.1,2672.8,4468
America,2015-06-01,1222.2,2823.6,4886.9
America,2015-05-01,1266.2,2537.4,4418.3
America,2015-04-01,1406.5,2809.9,4725.5
America,2015-03-01,1386.8,3037.4,5555.1
America,2015-02-01,1208.8,1983.5,3842
America,2015-01-01,1327.9,2422.1,4751.9
America,2014-12-01,1399.1,2445.2,5546.4
America,2014-11-01,1190,2566.2,5087.7
America,2014-10-01,1624,2537.5,5927
America,2014-09-01,1292.6,2968.7,4999
America,2014-08-01,1208.5,3132.9,5276
America,2014-07-01,1249.4,2980.8,4755.4
America,2014-06-01,1183.8,3104.9,4635.5
America,2014-05-01,1125.4,2702,5276.7
America,2014-04-01,1413.8,3162.9,6046.6
America,2014-03-01,1215.5,2726.7,6117
America,2014-02-01,1120.8,2822.4,5579
America,2014-01-01,1187.3,2838.7,5570
America,2013-12-01,1096.4,2798.7,4793.3
America,2013-11-01,1597.6,2719.9,5269.7
America,2013-10-01,1438.1,3030.1,5847.2
America,2013-09-01,1504.9,3144.3,6441.8
America,2013-08-01,1444.8,3148.4,5843.8
America,2013-07-01,1296.5,3137.4,6344.8
America,2013-06-01,1445.7,3170.1,5004.4
America,2013-05-01,2723.1,3027.4,5550.9
America,2013-04-01,1284,3250.7,5697.4
America,2013-03-01,1198.5,3217.4,4717.4
America,2013-02-01,924.9,2561.4,5173.2
America,2013-01-01,1018.1,3052.2,5553.4
America,2012-12-01,983.8,2341.8,4705.3
America,2012-11-01,976.6,2983.5,4806.6
America,2012-10-01,1130.7,3593.8,5670.2
America,2012-09-01,1078.2,2958,5248.5
America,2012-08-01,1417.9,3223,5521
America,2012-07-01,1090.6,3034.8,5556.7
America,2012-06-01,949.1,3144.9,5098.6
America,2012-05-01,1053.9,3189.1,5876.5
America,2012-04-01,993.1,3386.2,5073.8
America,2012-03-01,1125,3229.7,5539.4
America,2012-02-01,1021.3,3934.4,5312.3
America,2012-01-01,1043.8,3729.8,5349.6
America,2011-12-01,997.1,3688.2,5489.2
America,2011-11-01,972.9,2987.9,6298.3
America,2011-10-01,1201.5,3143.5,4816.1
America,2011-09-01,1110.1,3118.8,5093.9
America,2011-08-01,933.9,3476.3,5678.4
America,2011-07-01,1114.1,3397.8,4871
America,2011-06-01,1083.5,3584,5308.5
America,2011-05-01,1162.1,3014.9,5658.1
America,2011-04-01,1313,3535.6,5702.4
America,2011-03-01,1186.1,4463.9,5382.1
America,2011-02-01,875.4,2908.2,4542.4
America,2011-01-01,1108.9,3072.7,4964.5
America,2010-12-01,1082.6,2741.1,4842.5
America,2010-11-01,1052.6,2743.5,5033
America,2010-10-01,1139.9,3822.3,4822.5
America,2010-09-01,1328.2,3596.9,4760.2
America,2010-08-01,1380.5,3267.5,5220.1
America,2010-07-01,1217.4,2770.1,5044.1
America,2010-06-01,1115.4,3039.3,5236.8
America,2010-05-01,1078.2,2666.8,4845.9
America,2010-04-01,1123.7,3893,5512.7
America,2010-03-01,1114.5,2638.7,5475.1
America,2010-02-01,935.5,2543.8,4255.2
America,2010-01-01,1017.4,2635.1,4687.7
America,2009-12-01,1009.1,2728.5,4756.3
America,2009-11-01,1080,3150.7,4653.1
America,2009-10-01,1148.7,2749.4,4434
America,2009-09-01,1021.4,2909.3,4687.6
America,2009-08-01,994.1,2921.2,4587.5
America,2009-07-01,994.7,2864,4335.4
America,2009-06-01,847.4,3157.3,4062
America,2009-05-01,941.6,2185.8,3907.3
America,2009-04-01,982.1,2804,4123.3
America,2009-03-01,1014.6,2379.1,4114.8
America,2009-02-01,883.3,2210.4,4181.7
America,2009-01-01,839.2,2094.8,4362.4
America,2008-12-01,1083.2,2293.6,4585
America,2008-11-01,1243.4,3514.2,4657.5
America,2008-10-01,1279.3,3032.7,5995.1
America,2008-09-01,1462.9,3454.8,5589.1
America,2008-08-01,1321.2,3313.6,5483.1
America,2008-07-01,1371.7,3062.2,5484.8
America,2008-06-01,1271.2,3194.5,5674.7
America,2008-05-01,1270.6,2877.1,5361.7
America,2008-04-01,1397.8,3197.9,5725.3
America,2008-03-01,1376.9,3810.8,5562.2
America,2008-02-01,1221.5,3027.5,4929.1
America,2008-01-01,1270,3680.7,4800.5
America,2007-12-01,1128,3082.4,4664.4
America,2007-11-01,1084.5,3443.7,4818
America,2007-10-01,1188.8,3595.2,5116.9
America,2007-09-01,1170.8,3394,4379.3
America,2007-08-01,1234.1,3507.8,4340
America,2007-07-01,1318.4,3398.9,4627.6
America,2007-06-01,1446.8,3272.5,4883.5
America,2007-05-01,1252,3143.6,4602.7
America,2007-04-01,1256.5,3266.9,4411.5
America,2007-03-01,1529,3374.4,5232.8
America,2007-02-01,1240.3,2793.5,4163.6
America,2007-01-01,1293.5,3324.6,4170.7
America,2006-12-01,1527.6,2433.7,6260.1
America,2006-11-01,1373.6,2910.5,5104.3
America,2006-10-01,1766.4,3145.4,4533.3
America,2006-09-01,1642.8,3225.3,4380.4
America,2006-08-01,1602.9,3150.5,4259.6
America,2006-07-01,1562.3,3303.1,4401.5
America,2006-06-01,1971,3023.6,4313
America,2006-05-01,1466.8,2906.2,4209.1
America,2006-04-01,1427.1,3125.9,3980.9
America,2006-03-01,1613.6,3443.2,4154
America,2006-02-01,1463.6,2760.6,4364.3
America,2006-01-01,1502.7,2472.6,3499.5
America,2005-12-01,1728.7,2945.9,3797.8
America,2005-11-01,1714.3,2857.5,3875.5
America,2005-10-01,1729.3,2740.3,4519.8
America,2005-09-01,1503.5,2664.4,3816.1
America,2005-08-01,1632.3,2574.8,4219.3
America,2005-07-01,1526.4,2529.2,3622.7
America,2005-06-01,1537.5,2374.6,3460
America,2005-05-01,1523.8,2200,3393.4
America,2005-04-01,1446.6,2256.7,3676.4
America,2005-03-01,1302.8,2555.9,3624.7
America,2005-02-01,1102.9,2403.4,2991.3
America,2005-01-01,1150.3,2379.1,2744.1
America,2004-12-01,1362.2,2410.1,2896.6
America,2004-11-01,1235.1,2457.3,2789.2
America,2004-10-01,1326.8,2601.7,3218.7
America,2004-09-01,1444.7,2715.4,3145.2
America,2004-08-01,1523.7,2729.2,3369.4
America,2004-07-01,1503.1,2760,4304.7
America,2004-06-01,1396.9,2583.9,3418.6
America,2004-05-01,1322.7,2650.4,3350.4
America,2004-04-01,1284.9,2350.8,3439.7
America,2004-03-01,1359.1,2560.9,3753.7
America,2004-02-01,992.5,2017.2,2606.4
America,2004-01-01,1096.5,2127.4,2554.4
America,2003-12-01,1222.1,2387.9,2649.3
America,2003-11-01,1087.9,2208.3,2624.1
America,2003-10-01,1181.3,2553.3,3430
America,2003-09-01,1121.4,2339.6,3061.2
America,2003-08-01,1202.6,2060.7,3087.6
America,2003-07-01,1090.8,2236.7,2670.2
America,2003-06-01,1173.5,2421.4,2852.8
America,2003-05-01,1032.8,2379.6,2460.4
America,2003-04-01,1025.1,2349.3,2825.5
America,2003-03-01,944.4,2384.9,3455.3
America,2003-02-01,964.5,2081.9,2755.3
America,2003-01-01,919.9,2679.1,2385.2
Antigua And Barbuda,2025-01-01,1.9,8.8,0
Antigua And Barbuda,2024-12-01,0.1,7.1,0
Antigua And Barbuda,2024-11-01,0,8.3,0
Antigua And Barbuda,2024-10-01,0.2,7.7,0
Antigua And Barbuda,2024-09-01,0,8.2,0
Antigua And Barbuda,2024-08-01,1.1,9.3,0
Antigua And Barbuda,2024-07-01,0.1,10,0
Antigua And Barbuda,2024-06-01,0.1,8.4,0
